DATE	COMP	HE01	HE02	HE03	HE04	HE05	HE06	HE07	HE08	HE09	HE10	HE11	HE12	HE13	HE14	HE15	HE16	HE17	HE18	HE19	HE20	HE21	HE22	HE23	HE24
1/21/2015	RTO	86648.135	84799.622	84236.245	84412.536	86722.743	92555.284	101982.468	107373.248	106948.484	106059.955	105549.201	104970.216	104012.262	103681.817	103255.782	103141.919	105035.842	109832.053	112251.957	111085.355	109397.313	105245.029	99348.869	93904.017
1/22/2015	RTO	89895.103	87719.816	86889.734	87056.363	89116.363	94564.152	103574.383	109259.246	109308.825	108373.684	106945.609	104771.651	102811.349	101250.224	100049.946	99899.982	101676.116	107125.19	110279.562	109758.864	108128.617	104855.814	98993.856	93708.249
1/23/2015	RTO	89582.77	87617.371	87243.48	87619.589	89903.698	95665.602	105124.992	110667.31	109670.106	107667.596	105653.048	103553.116	101573.802	100588.428	99814.789	99988.889	101881.026	106038.217	107735.72	106503.238	104633.133	101456.333	96979.903	91867.931
1/24/2015	RTO	87741.119	85509.471	83997.448	83517.075	83903.241	85883.598	89002.217	92901.237	95845.577	98614.417	99926.528	99895.93	98513.447	96782.506	95251.677	94231.401	94939.869	99431.442	102257.377	101433.554	99711.88	97115.234	93053.122	88486.673
1/25/2015	RTO	84828.47	82421.03	81079.647	80707.395	81178.189	82745.791	85195.042	88045.693	90651.845	91866.5	91642.275	91171.586	90171.974	89170.561	88074.367	88445.757	90950.227	97052.78	100768.795	100557.444	99311.333	96304.008	92046.212	87908.587
1/26/2015	RTO	84673.354	83350.958	83094.753	83834.004	86436.354	92550.064	101653.944	108344.641	109802.602	110475.08	111011.256	110530.303	110038.834	109712.992	108977.425	108804.908	110528.225	115329.583	118209.561	116939.041	114359.432	110230.255	104637.222	99354.342
1/27/2015	RTO	95259.734	93519.354	92838.441	93227.773	95178.547	100019.318	107894.936	113310.59	114302.959	114021.201	112945.214	111367.714	109458.302	107953.291	106404.323	106022.881	108120.73	114088.396	118539.789	118181.697	116531.377	112922.285	107605.954	102191.619
1/28/2015	RTO	99006.321	97918.604	97647.697	98478.758	101235.825	107344.709	116989.546	122273.025	120526.205	116971.174	113732.207	110354.204	107444.733	105272.322	103220.059	102848.829	104827.16	111238.867	116674.197	116963.006	115999.746	112313.554	106679.446	101110.925
1/29/2015	RTO	97643.142	96031.757	95628.904	96209.098	98636.52	104453.336	113599.955	118158.864	116432.584	113966.791	111963.961	109935.592	108212.007	107436.297	106540.938	106497.462	108210.535	112390.964	114589.997	113517.246	111116.655	106596.482	100377.671	94384.779
1/30/2015	RTO	89968.551	87575.746	86497.403	86565.984	88716.17	94042.704	103096.265	108743.998	108967.064	108410.671	107794.079	106855.961	105576.679	104743.942	103632.392	103240.834	104791.692	110122.434	115227.922	115519.094	114675.536	112601.167	108829.42	104887.958
1/31/2015	RTO	101770.601	100336.165	99937.245	100283.686	101336.535	104023.34	107766.803	111408.615	112797.057	111650.547	109111.722	105868.211	102417.524	99234.688	96769.124	95963.722	97566.891	103112.658	107590.061	107465.287	106441.105	104318.404	100742.353	96658.526
2/1/2015	RTO	93181.313	91116.333	90026.73	89403.578	89340.104	90416.799	92479.799	94907.28	97058.689	98130.271	97669.153	96914.617	96318.52	95704.465	95188.527	95690.692	98039.938	102507.977	103665.08	101206.334	99217.016	96655.122	93594.815	89116.014
2/2/2015	RTO	85142.83	82972.812	82024.875	82271.399	84147.719	89471.71	97673.432	103630.7	104978.369	106049.243	107012.729	107109.415	106627.884	106179.626	105714.638	105671.465	108055.539	113967.086	119732.58	120484.961	119029.44	115425.225	109736.899	104236.05
